Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Key words,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Assassin's Creed Mirage,71,77,-6,30%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,25,Extra,1,No,Ubisoft,Ubisoft Bordeaux,Assassin's Creed,"Stealth, third-person, open-world, platforming",,,,
Counter-Strike 2,70,80,-10,28%,PC,PC,2023,2023,,4,Dropped,,No,Valve,Valve,Counter-Strike,"First-person, shooter, multiplayer",,,,
20 Minutes Till Dawn,68,78,-10,23%,"PC, mobile",PC,2023,2023,,5,Finished,,No,Indie,Flanne,20 Minutes Till Dawn,"Roguelike, bullet-hell, isometric",,,,
Wo Long Fallen Dynasty,64,82,-18,15%,"PS4, XB1, PS4, XBS, PC",XBS,2023,2023,,2,Tried,0,No,Koei Tecmo,Team Ninja,Wo Long,"Action-rpg, third-person",,,,
Tchia,57,78,-21,8%,"PS4, PS5, PC",PS5,2023,2023,,8,Finished,1,No,Indie,Awaceb,Tchia,"Open-world, adventure, third-person",,,,
Forza Motorsport (2023),52,84,-32,4%,"PC, XBS",XBS,2023,2023,,20,Dropped,,No,Microsoft,Turn 10 studios,Forza,Racing (simcade),52,,,
Minecraft Legends,49,71,-22,3%,"PC, Switch, PS4, XB1, PS5, XBS",PC,2023,2023,,5,Dropped,0,No,Microsoft,Mojang,Minecraft,Strategy (real-time),,,,
Exoprimal,44,68,-24,2%,"PS4, PS5, XB1, XBS, PC",XBS,2023,2023,,2,Tried,,No,Capcom,Capcom,Exomprimal,"Multiplayer, third-person, shooter",,,,
Elden Ring,97,96,1,98%,"PS4, PS5, XB1, XBS, PC",XBS,2022,2022,2023,66,Extra,1,No,Bandai Namco,From Software,Souls,"Soulslike, action-rpg, open-world, exploration, third-person",,,,
God of War Ragnarök,96,94,2,96%,"PS4, PS5",PS5,2022,2022,,33,Extra,1,No,Sony,Santa Monica Studio,God of War,"Hack and slash, third-person, story-driven",,,,
Horizon Forbidden West,91,88,3,87%,"PS4, PS5",PS5,2022,2022,2023,52,Extra,1,Yes,Sony,Guerrilla Games,Horizon,"Action-RPG, third-person, open-world, platforming, story-driven",,,,
Gran Turismo 7,89,87,2,81%,"PS4, PS5",PS5,2022,2022,2023,93,Extra,,Yes,Sony,Polyphony Digital,Gran Turismo,Racing (sim),82,,,
Vampire Survivors,88,87,1,79%,PC,PC,2022,2022,2023,33,Extra,1,No,Indie,poncle,Vampire Survivors,"Roguelike, bullet-hell, isometric",,,,
Rogue Legacy 2,87,89,-2,76%,"PC, XB1, XBS",PC,2022,2022,,14,Finished,1,Yes,Indie,Cellar Door Games,Rogue Legacy,"2D, platformer, roguelike",,,,
OlliOlli World,86,86,0,74%,"PS4, XB1, PC, Switch",PS5,2022,2022,,6,Finished,1,No,Private Division,roll7,OlliOlli,"2D, platformer, sport (skatebording)",,,,
Stray,86,84,2,74%,"PS4, PS5, PC",PS5,2022,2022,,5,Finished,1,No,Annapurna,BlueTwelve Studios,Stray,"Adventure, story-driven, puzzles, third-person",,,,
Neon White,85,89,-4,71%,"PC, Switch",PC,2022,2022,,10,Finished,1,No,Annapurna,Angel Matrix,Neon White,"First-person, platforming, action, puzzles",,,,
Splatoon 3,84,83,1,68%,Switch,Switch,2022,2022,,21,Extra,1,No,Nintendo,Nintendo,Splatoon,"Third-person, shooter, multiplayer, platforming",,,,
Citizen Sleeper,84,84,0,68%,"XB1, XBS, PC, Switch",PC,2022,2023,,5,Extra,1,Yes,Indie,Jump Over The Age,Citizen Sleeper,"Story-driven, RPG, interactive-story",,,,
Pokemon Legends Arceus,82,84,-2,63%,Switch,Switch,2022,2022,,23,Finished,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, open-world, turn-based, third-person",,,,
Kirby and the Forgotten Land,80,84,-4,57%,Switch,Switch,2022,2022,,11,Extra,1,No,Nintendo,HAL laboratory,Kirby,"Platformer, collectathon, third-person",,,,
PlateUp!,79,80,-1,54%,PC,PC,2022,2022,2023,36,Extra,,Yes,Yogscast Games,It's happening,PlateUp!,"Party, simulation (management), roguelike, top-down",,,,
Two Point Campus,79,84,-5,54%,"PC, PS4, PS5, XB1, XBS, Switch",PC,2022,2022,,16,Finished,1,No,SEGA,Two Point Studios,Two Point,Simulation (management),,,,
Teenage Mutant Ninja Turtles: Shredder's Revenge,79,87,-8,54%,"PS4,  PS5, XB1, XBS, PC, Switch",PC,2022,2022,,3,Finished,1,No,Indie,Dotemu,TMNT,"Brawler, 2D",,,,
Rollerdrome,79,80,-1,54%,"PS4, PS5, PC",PC,2022,2023,,3,Finished,1,No,Private Division,roll7,Rollderdrome,"Third-person, shooter, sports, action",,,,
Nobody Saves The World,78,80,-2,50%,"PC, XB1, XBS",XBS,2022,2022,,12,Finished,1,No,Indie,DrinkBox,Nobody Saves the World,"Action-RPG, isometric",,,,
Chained Echoes,77,90,-13,48%,"PS4, PS5, XB1, XBS, PC, Switch",XBS,2022,2023,,8,Dropped,0,No,Indie,Matthias Linda,Chained Echoes,"JRPG, story-driven, top-down",,,,
Overwatch 2,76,77,-1,45%,"PS4, PS5, XB1, XBS, PC",PS5,2022,2022,,23,Finished,,No,Activision-Blizzard,Blizzard,Overwatch,"First-person, shooter, multiplayer",,,,
Freshly Frosted,76,89,-13,45%,"PS4, XB1, PC, Switch",Switch,2022,2022,,5,Finished,1,No,Indie,The Quantum Astrophysicists Guild,Freshly Frosted,Puzzle,,,,
Pokemon Violet,74,72,2,39%,Switch,Switch,2022,2022,,33,Extra,1,No,Nintendo,Game Freak,Pokemon,"JRPG, monster collecting, open-world, third-person, turn-based",,,,
Ghostwire Tokyo,73,77,-4,36%,"PS5, PC",PS5,2022,2023,,10,Finished,1,Yes,Bethesda,Tango Gameworks,Ghostwire,"First-person, open-world, horror, action, stealth",,,,
Cult of the Lamb,72,84,-12,33%,"PS4, PS5, XB1, XBS, PC, Switch",PS5,2022,2023,,10,Finished,1,No,Devolver Digital,Massive Monster,Cult of the Lamb,"Hack and slash, simulation (management), roguelike",,,,
High on Life,72,69,3,33%,"XB1, XBS, PC",XBS,2022,2022,,8,Finished,1,No,Indie,Squanch Games,High on Life,"First-person, shooter, comedy, story-driven",,,,
Grid Legends,71,75,-4,30%,"PS4, PS5, XB1, XBS, PC",XBS,2022,2022,,17,Extra,,No,EA,Codemasters,Grid,Racing (arcade),70,,,
Warpips,71,79,-8,30%,PC,PC,2022,2022,,9,Finished,,No,Indie,Skirmish Mode Games,Warpips,Strategy (real-time),,,,
TemTem,69,76,-7,25%,"Switch, PC, PS4, PS5, XB1, XBS",PC,2022,2022,,13,Dropped,0,No,Humble Games,Crema,TemTem,"RPG, monster collecting, open-world, top-down, turn-based",,,,
Trek to Yomi,69,72,-3,25%,"XB1, XBS, PS4, PS5, PC",XBS,2022,2022,,4,Finished,1,No,Devolver Digital,Flying Wild Hog,Trek to Yomi,"2D, action",,,,
Windjammers 2,69,77,-8,25%,"Switch,PC,PS4,XB1,XBS,PS5",XBS,2022,2022,,2,Tried,,No,Indie,Dotemu,Windjammers,"Sports, party, multiplayer, top-down",,,,
Tunic,67,86,-19,20%,"PC, XB1, XBS",XBS,2022,2022,,7,Finished,1,No,Indie,Andrew Shouldice,Tunic,"Puzzles, adventure, exploration, isometric",,,,
Need for Speed Unbound,66,75,-9,19%,"PS4, XB1, PS5, XBS, PC",XBS,2022,2023,,11,Dropped,0,No,EA,Criterion Games,Need for Speed,"Racing (arcade), open-world",,,,
A Plague Tale: Requiem,63,84,-21,14%,"PS5, XBS, PC, Switch",XBS,2022,2022,,13,Finished,1,No,Focus Home Interactive,Asobo Studio,A Plague Tale,"Third-person, linear, stealth, puzzles, story-driven, survival",,,,
You Suck At Parking,62,70,-8,12%,"PC, Switch, PS4, XB1",PC,2022,2022,,3,Dropped,,Yes,Indie,Happy Volcano,You Suck at Parking,"Racing (arcade), puzzle",,,,
Lego Star Wars The Skywalker Saga,59,82,-23,9%,"PS4, PS5, PC, XB1, XBS, Switch",PS5,2022,2022,,23,Finished,1,No,Warner Bros,Traveller's Tales,Star Wars,"Action, sandbox, puzzles, third-person",,,,
Arcadeggedon,59,74,-15,9%,"XB1, XBS, PS4, PS5, PC",PS5,2022,2022,,5,Dropped,,No,Indie,Illfonic,Arcadeggedon,"Roguelike, third-person, shooter, multiplayer (co-op), multiplayer (arena), looter",,,,
Spacelines from the Far Out,58,82,-24,8%,"PC, XB1",PC,2022,2022,,2,Tried,,No,Skystone Games,Coffeenauts,Spacelines from the Far Out,"Multiplayer (co-op), party, roguelike, top-down",,,,
Lost Ark,54,82,-28,6%,PC,PC,2022,2022,,2,Tried,0,No,Amazon Games,Tripod Studio,Lost Ark,"MMO, action-RPG, isometric",,,,
Golfie,52,70,-18,4%,PC,PC,2022,2023,,1,Tried,,No,Yogscast Games,Triheart Studio,Golfie,"Sports (golf), roguelike, card, third-person",,,,
Diablo Immortal,49,65,-16,3%,"PC, mobile",Mobile,2022,2022,,17,Finished,1,No,Activision-Blizzard,Blizzard,Diablo,"Isometric, hack and slash, action-RPG, looter",,,,
CrossfireX,40,42,-2,1%,"XBS, XB1",XBS,2022,2023,,4,Finished,,Yes,Indie,Smilegate,Crossfire,"First-person, shooter, multiplayer, action",,,,Remedy
Metroid Dread,93,87,6,92%,Switch,Switch,2021,2021,2023,19,Extra,2,No,Nintendo,Mercury steam,Metroid,"Platformer, metroidvania, 2D",,,,
Forza Horizon 5,92,92,0,90%,"XBS,PC,XB1",XBS,2021,2021,"2022, 2023",67,Extra,,Yes,Microsoft,Playground games,Forza,"Racing (simcade), open-world",91,,,
Psychonauts 2,89,89,0,81%,"XBS,PC,XB1,PS4",XBS,2021,2021,,13,Finished,1,No,Microsoft,Double Fine,Psychonauts,"Platformer, puzzles, third-person",,,,
Ratchet & Clank: Rift Apart,89,88,1,81%,PS5,PS5,2021,2021,,15,One-hundred,1,No,Sony,Insomniac,Ratchet & Clank,"Platformer, action, story-driven, third-person",,,,
Death's Door,88,88,0,79%,"PC,XB1,XBS",PC,2021,2021,,7,Finished,1,No,Devolver Digital,Acid Nerve,Death's Door,"Isometric, metroidvania, hack and slash, soulslike",,,,
Guardians of the Galaxy,86,82,4,74%,"PS5,PS4,XB1,XBS,PC,Switch",PS5,2021,2021,,16,Finished,1,No,Square Enix,Eidos Montreal,Guardians of the Galaxy,"Action, linear, story-driven, third-person, shooter",,,,
Unsighted,85,85,0,71%,"NSW,XB1,PS4,PC",XBS,2021,2022,,11,Finished,1,No,Humble Games,Pixel Punk Studio,Unsighted,"Isometric, hack and slash, metroidvania",,,,
Kena: Bridge of Spirits,84,82,2,68%,"PS4,PS5,PC",PS5,2021,2021,,9,Finished,1,No,Indie,Ember Lab,Kena,"Third-person, soulslike, platforming, exploration, story-driven",,,,
Returnal,84,86,-2,68%,PS5,PS5,2021,2021,2022,11,Finished,1,Yes,Sony,Housemarque,Returnal,"Third-person, shooter, roguelike, metroidvania, bullet-hell",,,,
Ys IX: Monstrum Nox,83,80,3,65%,"PS4, PC, Switch",PS5,2021,2022,,26,Extra,1,No,NIS America,Nihon Falcom,Ys,"Action-RPG, JRPG, story-driven, third-person, hack and slash",,,,
Deathloop,82,88,-6,63%,"PS5,PC",PS5,2021,2021,,14,Finished,1,No,Bethesda,Arkane Studios,Deathloop,"First-person, shooter, stealth, sandbox, roguelike, immersive-sim",,,,
Monster Hunter Rise,81,88,-7,60%,Switch,Switch,2021,2021,,27,Dropped,0,No,Capcom,Capcom,Monster Hunter,"Action-RPG, hack and slash, third-person, multiplayer (co-op)",,,,
Halo Infinite,81,87,-6,60%,"XB1, XBS, PC",XBS,2021,2022,,14,Extra,1,No,Microsoft,Bungie,Halo,"First-person, shooter, open-world, multiplayer",,,,
Loop Hero,77,84,-7,48%,PC,PC,2021,2022,,6,Dropped,0,No,Devolver Digital,Four Quarters,Loop Hero,"Strategy (real-time), idle, card",,,,
Wildermyth,73,85,-12,36%,PC,PC,2021,2022,,6,Dropped,,No,Indie,Worldwalker Games,Wildermyth,"RPG, strategy, sandbox, story-driven, interactive-story",,,,
Hot Wheels Unleashed,72,74,-2,33%,"Switch, PS4, PS5, XBS, XB1",Switch,2021,2021,,17,Finished,,No,Indie,Milestone,Hot Wheels,Racing (arcade),,,,
Tribes of Midgard,72,75,-3,33%,"PS5, PS4, PC",PS5,2021,2022,,10,Dropped,,Yes,Gearbox Publishing,Norsfell,Tribes of Midgard,"Action-RPG, survival, roguelike, multiplayer (co-op), isometric",,,,
Buck Up and Drive!,71,70,1,30%,PC,PC,2021,2022,,1,Finished,,No,Indie,Fabio Fontez,Buck up and Drive!,Racing (arcade),,,,
Age of Empires IV,69,83,-14,25%,PC,PC,2021,2021,,3,Tried,,No,Microsoft,Relic Entertainment,Age of Empires,Strategy (real-time),,,,
Mini Motorways,68,80,-12,23%,PC,PC,2021,2021,,6,Finished,,No,Indie,Dinosaur Polo Club,Mini (transport),"Strategy, puzzle",,,,
The Riftbreaker,68,80,-12,23%,"PC, PS4, XB1",PC,2021,2022,,5,Dropped,,No,Indie,EXOR Studios,The Riftbreaker,"Strategy (RTS), base-building, isometric, bullet-hell",,,,
Mario Golf: Super Rush,67,71,-4,20%,Switch,Switch,2021,2021,,8,Finished,1,No,Nintendo,Camelot Software Planning,Mario Sports,Sports (golf),,,,
Boyfriend Dungeon,67,73,-6,20%,"PC,Switch",PC,2021,2021,,4,Finished,1,No,Indie,Kitfox Games,Boyfriend Dungeon,"Action-RPG, simulation (social), isometric",,,,
Curse of the Dead Gods,67,81,-14,20%,"PC, PS4, XB1, Switch",XBS,2021,2022,,2,Tried,,No,Focus Home Interactive,Passtech Games,Curse of the Dead Gods,"Roguelike, hack and slash, isometric",,,,
The Ascent,64,73,-9,15%,"PC, XBS, XB1",PC,2021,2021,,4,Tried,0,No,Curve Digital,Neon Giant,The Ascent,"Action-RPG, isometric, story-driven",,,,
Scarlet Nexus,60,79,-19,11%,"PS4, PS5, XB1, XBS, PC",XBS,2021,2022,,6,Dropped,0,No,Bandai Namco,Bandai Namco Studios,Scarlet Nexus,"Hack and slash, action-RPG, JRPG, story-driven, third-person",,,,
Back 4 Blood,59,76,-17,9%,"PC,XB1,PS4,PS5,XBS",PC,2021,2021,,10,Finished,1,No,Warner Bros,Turtle Rock Studios,Back 4 Blood,"First-person, shooter, multiplayer (co-op), horror, survival",,,,
Destruction Allstars,55,62,-7,6%,PS5,PS5,2021,2021,,2,Tried,,No,Sony,Lucid Games,Destruction Allstars,"Multiplayer, action, third-person",,,,
Dandy Ace,54,79,-25,6%,"PS4,XB1,PC",XBS,2021,2022,,2,Tried,,No,Indie,Mad Mimic,Dandy Ace,"Isometric, action-RPG, roguelike",,,,
F.I.S.T. Forged In Shadow Torch,47,80,-33,2%,"PS4, PS5, PC",PC,2021,2023,,3,Dropped,0,No,Billibilli,TiGames,F.I.S.T.,"2D, platformer, metroidvania",,,,
Cruis'n Blast,47,73,-26,2%,Switch,Switch,2021,2021,,3,Dropped,,No,Indie,Raw Thrills,Cruise'n Blast,Racing (arcade),,,,
Sunlight,32,78,-46,0%,PC,PC,2021,2023,,1,Finished,1,No,Indie,Krillbite Studio,Sunlight,"Adventure, first-person",,,,
Hades,98,94,4,99%,"PC, Switch",PC,2020,2020,"2021, 2023",88,Extra,,No,Indie,Supergiant,Hades,"Roguelike, isometric, hack and slash, action-RPG, story-driven",,,,
The Last of Us Part II,96,93,3,96%,PS4,PS4,2020,2020,,42,One-hundred,2,No,Sony,Naughty Dog,The Last of Us,"Third-person, cover-shooter, horror, survival, story-driven, linear",,,,
Ghost of Tsushima,93,85,8,92%,PS4,PS4,2020,2020,2021,81,One-hundred,1,Yes,Sony,Sucker Punch,Ghost of Tsushima,"Open-world, third-person, stealth, platforming, exploration, story-driven",,,,
Final Fantasy VII Remake,91,88,3,87%,PS4,PS4,2020,2020,2022,36,Extra,1,Yes,Square Enix,Square Enix,Final Fantasy,"Action-RPG, third-person, story-driven, JRPG",,,,
Demon's Souls (Remake),90,92,-2,84%,PS5,PS5,2020,2020,,19,Finished,1,No,Sony,Bluepoint Games,Souls,"Action-RPG, soulslike, third-person",,,,From Software
Ori and The Will of the Wisps,89,90,-1,81%,"PC,XB1",PC,2020,2021,,11,Finished,1,No,Microsoft,Moon Studios,Ori,"Platformer, metroidvania, 2D",,,,
Marvel's Spider-Man Miles Morales,88,85,3,79%,"PS4, PS5",PS4,2020,2020,2023,26,One-hundred,2,No,Sony,Insomniac,Marvel's Spider-Man,"Story-driven, open-world, superhero, platforming, third-person",,,,
Astro's Playroom,88,84,4,79%,PS5,PS5,2020,2020,,4,One-hundred,1,No,Sony,Asobi Team,Astro Bot,"Platformer, third-person",,,,
F1 2020,87,88,-1,76%,"PS4, XB1, PC",PS4,2020,2020,2021,126,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Animal Crossing New Horizons,87,90,-3,76%,Switch,Switch,2020,2020,2021,45,Finished,1,Yes,Nintendo,Nintendo,Animal Crossing,"Simulation (social), top-down",,,,
Monster Sanctuary,82,80,2,63%,"PC,PS4,XB1,Switch",XBS,2020,2021,,27,Finished,1,No,Team17,Moi Rai Games,Monster Sanctuary,"2D, platformer, metroidvania, puzzles, strategy, turn-based, monster collecting",,,,
Spiritfarer,81,87,-6,60%,"PC, Switch, PS4, XB1",PC,2020,2020,,26,Finished,1,No,Indie,Thunder Lotus Games,Spiritfarer,"2D, platformer, adventure, simulation (management), story-driven",,,,
Dirt 5,80,82,-2,57%,"PS4,XB1,PC,PS5,XBS",PS5,2020,2020,2022,26,One-hundred,,Yes,Codemasters,Codemasters,Dirt,Racing (arcade),79,,,
Streets of Rage 4,77,84,-7,48%,"Switch, PC",XBS,2020,2021,,3,Dropped,1,No,Indie,Dotemu,Streets of Rage,"Brawler, 2D",,,,
Deep Rock Galactic,76,85,-9,45%,"PC, XB1",PC,2020,2021,,11,Dropped,,Yes,Coffee Stain,Ghost Ship Games,Deep Rock Galactic,"First-person, shooter, action, exploration",,,,
Immortals Fenyx Rising,75,79,-4,42%,"PS4,PS5,Switch,XB1,XBS,PC",PS5,2020,2021,,26,Finished,1,No,Ubisoft,Ubisoft Quebec,Immortals,"Open-world, third-person, puzzles",,,,
Sackboy: A Big Adventure,75,81,-6,42%,"PS4, PS5",PS5,2020,2021,,7,Finished,1,No,Sony,Sumo Digital,LittleBigPlanet,"Platformer, third-person",,,,
WRC 9,74,80,-6,39%,"PS4,XB1,PS5,PC",PS5,2020,2020,,20,One-hundred,,No,Nacon,Kylotonn,WRC,Racing (sim),,,,
Crash Bandicoot 4: Its About Time,74,85,-11,39%,"PS4, XB1",PS4,2020,2020,,11,Finished,1,No,Activision-Blizzard,Toys for Bob,Crash Bandicoot,"Platformer, third-person",,,,
Call of Duty Black Ops Cold War,74,75,-1,39%,"PS4, XB1, PC",PS5,2020,2023,,8,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,"First-person, shooter, multplayer",,,,
Dreams,74,90,-16,39%,PS4,PS4,2020,2020,2023,14,Finished,,No,Sony,Media Molecule,Dreams,"Platformer, sandbox, user creation",,,,
Bugsnax,73,75,-2,36%,"PS4, PS5, PC",PS5,2020,2020,,7,Finished,1,No,Indie,Young Horses,Bugsnax,"Adventure, exploration, story-driven, first-person",,,,
Hyrule Warriors Age of Calamity,72,80,-8,33%,Switch,Switch,2020,2020, ,21,Finished,1,No,Nintendo,Omega Force,The Legend of Zelda,"Hack and slash, musou, story-driven, third-person",,,,
Star Wars Squadrons,70,79,-9,28%,"PS4, XB1, PC",PS4,2020,2020,,15,Finished,1,No,EA,Motive Studios,Star Wars,"Action, first-person",,,,
Journey to the Savage Planet,69,76,-7,25%,"PS4, XB1, PC, Switch",PS4,2020,2020,,6,Finished,1,No,505 Games,Typhoon Studios,Journey to the Savage Planet,"First-person, action, multiplayer (co-op)",,,,
Cyberpunk 2077,68,76,-8,23%,"PS4, XB1, PC",PS5,2020,2020,,35,Finished,1,No,CD Projekt,CD Projekt Red,Cyberpunk,"RPG, first-person, action, stealth, open-world, story-driven",,,,
Golf With Your Friends,67,69,-2,20%,"PC,PS4,XB1,Switch",PC,2020,2020,,6,Finished,,No,Team17,Blacklight Interactive,Golf With Your Friends,Sports (golf),,,,
Fall Guys,66,80,-14,19%,"PC, PS4",PS4,2020,2020,,4,Tried,,No,Devolver Digital,Mediatonic,Fall Guys,"Multiplayer, platformer, third-person",,,,
Darksburg,63,68,-5,14%,PC,PC,2020,2021,,7,Finished,,No,Indie,Shiro Games,Darksburg,"Roguelike, action-RPG, multiplayer (co-op), isometric",,,,
Minecraft Dungeons,62,72,-10,12%,"PC, PS4, XB1, Switch",Switch,2020,2020,,8,Finished,1,No,Microsoft,Mojang,Minecraft,"Action-RPG, hack and slash, isometric, looter",,,,
Doom Eternal,60,89,-29,11%,"PS4, XB1, PC",PS4,2020,2020,,6,Dropped,0,No,Bethesda,id Software,Doom,"First-person, shooter, action",,,,
Embr,60,67,-7,11%,PC,PC,2020,2022,,3,Tried,,No,Curve Digital,Muse Games,Embr,"Multiplayer (co-op), puzzles, action, first-person",,,,
Marvel's Avengers,43,68,-25,1%,"PS4,XB1,PC",PS4,2020,2021,,14,Finished,1,No,Square Enix,Crystal Dynamics,Marvel's The Avengers,"Third-person, action-RPG, superhero, looter",,,,
Star Wars Jedi Fallen Order,90,85,5,84%,"PS4,XB1,PC",PS4,2019,2019,,28,One-hundred,1,No,EA,Respawn,Star Wars,"Third-person, soulslike, platforming, exploration, story-driven, metroidvania",,,,
A Short Hike,89,87,2,81%,PC,PC,2019,2022,,2,Extra,1,No,Indie,adamgryu,A Short Hike,"Adventure, open-world, exploration, third-person",,,,
Astral Chain,88,87,1,79%,Switch,Switch,2019,2019,,22,Finished,1,No,Nintendo,Platinum Games,Astral Chain,"Action, hack and slash, third-person",,,,
Devil May Cry 5,87,88,-1,76%,"PS4,XB1,PC",PC,2019,2019,,9,Finished,1,No,Capcom,Capcom,Devil May Cry,"Action, hack and slash, story-driven, third-person",,,,
Gears 5,84,85,-1,68%,"XB1,PC",XBS,2019,2021,,12,Finished,1,No,Microsoft,The Coalition,Gears,"Third-person, cover-shooter, linear, story-driven",,,,
F1 2019,83,86,-3,65%,PS4,PS4,2019,2019,2020,165,Finished,,No,Codemasters,Codemasters,F1,Racing (simcade),,,,
Borderlands 3,83,80,3,65%,"PS4,XB1,PC",PS4,2019,2019,2021,94,One-hundred,2,No,2K Games,Gearbox,Borderlands,"First-person, shooter, open-world, action-rpg, looter",,,,
Luigi's Mansion 3,82,86,-4,63%,Switch,Switch,2019,2019,,14,Finished,1,No,Nintendo,Next Level Games,Luigi's Mansion,"Adventure, puzzles, third-person",,,,
Apex Legends,79,86,-7,54%,PS4,PS4,2019,2019,"2022, 2023",12,Finished,,Yes,EA,Respawn,Apex Legends,"Multiplayer, first-person, shooter",,,,
Concrete Genie,79,77,2,54%,PS4,PS4,2019,2019,,6,One-hundred,1,No,Sony,PixelOpus,Concrete Genie,"Adventure, puzzles, platforming, story-driven, third-person",,,,
Kingdom Hearts 3,78,85,-7,50%,PS4,PS4,2019,2019,,27,Finished,1,No,Square Enix,Square Enix,Kingdom Hearts,"Action-RPG, hack and slash, story-driven, third-person",,,,
Ring Fit Adventure,77,83,-6,48%,Switch,Switch,2019,2019,"2020, 2021, 2022, 2023",23,Dropped,0,No,Nintendo,Nintendo,Ring Fit,"JRPG, fitness, third-person, turn-based",,,,
